Date,FB,AMZN,AAPL,MSFT,GOOG,TSLA
2/23/2001,,11.8125,0.28744334,18.06390762,,
2/26/2001,,11.9375,0.297948003,18.95914841,,
2/27/2001,,11.75,0.296038002,18.89945793,,
2/28/2001,,10.1875,0.278848648,18.78010368,,
3/1/2001,,10.4375,0.286488444,18.89448929,,
3/2/2001,,10,0.29412806,18.0440197,,
3/5/2001,,12.625,0.311317354,18.28273964,,
3/6/2001,,11.875,0.328506649,18.91935349,,
3/7/2001,,12.25,0.324686915,19.31723976,,
3/8/2001,,11.6875,0.318002164,18.85968018,,
3/9/2001,,12.25,0.309407502,18.0440197,,
3/12/2001,,10.625,0.284578472,16.53206444,,
3/13/2001,,11,0.298902959,17.24824333,,
3/14/2001,,10.625,0.312272459,17.18856812,,
3/15/2001,,10.875,0.30081287,17.08909225,,
3/16/2001,,11,0.299857825,17.36761475,,
3/19/2001,,10.5,0.314182252,17.28803635,,
3/20/2001,,10.25,0.30081287,16.77078819,,
3/21/2001,,10,0.30749771,15.93524075,,
3/22/2001,,10.1875,0.33041662,17.18856812,,
3/23/2001,,10.1875,0.351425767,18.00422096,,
3/26/2001,,10.93999958,0.332784981,17.84507751,,
3/27/2001,,11.64000034,0.349439442,18.54137039,,
3/28/2001,,10.80000019,0.338743925,17.68592453,,
3/29/2001,,10,0.34424445,17.62623978,,
3/30/2001,,10.22999954,0.33721596,17.40739632,,
4/2/2001,,9.100000381,0.329881847,17.76550102,,
4/3/2001,,8.630000114,0.309254736,16.98962593,,
4/4/2001,,8.399999619,0.297948003,16.53206444,,
4/5/2001,,9.119999886,0.318880677,18.06390762,,
4/6/2001,,8.369999886,0.314602435,17.88486099,,
4/9/2001,,11.18000031,0.313838452,18.19123268,,
4/10/2001,,12.01000023,0.336757571,18.99655342,,
4/11/2001,,13.31999969,0.333090484,19.1111393,,
4/12/2001,,14.67000008,0.342563689,19.79230499,,
4/16/2001,,14.02999973,0.327589959,19.34986496,,
4/17/2001,,14.73999977,0.31169942,19.56950188,,
4/18/2001,,16.54000092,0.3482171,20.82681274,,
4/19/2001,,15.98999977,0.392985642,21.65759087,,
4/20/2001,,15.77999973,0.382595718,21.96315956,,
4/23/2001,,16.20000076,0.370525002,21.7244339,,
4/24/2001,,15.68000031,0.367163539,21.50161743,,
4/25/2001,,16.09000015,0.377706259,22.18279648,,
4/26/2001,,15.43000031,0.377247781,22.00453949,,
4/27/2001,,15.27000046,0.400319815,21.36476135,,
4/30/2001,,15.77999973,0.389471382,21.56528091,,
5/1/2001,,16.88999939,0.396194428,22.33558083,,
5/2/2001,,17.11000061,0.4062787,22.20508575,,
5/3/2001,,16.75,0.381373376,21.8135643,,
5/4/2001,,17.55999947,0.393444121,22.52020836,,
5/7/2001,,16.92000008,0.381373376,22.72073174,,
5/8/2001,,16.18000031,0.375414491,22.93717957,,
5/9/2001,,15.01000023,0.366399616,22.40879822,,
5/10/2001,,14.61999989,0.351425767,22.28147316,,
5/11/2001,,14.68000031,0.349133849,22.09049034,,
5/14/2001,,13.32999992,0.355856836,21.8740406,,
5/15/2001,,13.53999996,0.354176134,21.73080254,,
5/16/2001,,14.13000011,0.368233085,22.01409531,,
5/17/2001,,14.77999973,0.359829485,21.69896126,,
5/18/2001,,14.72000027,0.359523892,21.67350388,,
5/21/2001,,16.37999916,0.359982133,21.89632034,,
5/22/2001,,16.25,0.359065473,22.3801384,,
5/23/2001,,15.60000038,0.354940057,22.18598557,,
5/24/2001,,16.75,0.354481727,22.8289566,,
5/25/2001,,17.09000015,0.3477588,22.57113266,,
5/29/2001,,17.21999931,0.328048378,22.38969803,,
5/30/2001,,15.65999985,0.302226156,22.02365112,,
5/31/2001,,16.69000053,0.304823637,22.02046394,,
6/1/2001,,16.95000076,0.3191863,22.38969803,,
6/4/2001,,16.90999985,0.31567204,22.52975464,,
6/5/2001,,16.44000053,0.319950253,23.10906219,,
6/6/2001,,15.98999977,0.316741616,23.0326786,,
6/7/2001,,16.12999916,0.330951363,23.45284462,,
6/8/2001,,15.69999981,0.325756431,23.29687309,,
6/11/2001,,14.85999966,0.306198835,22.95628929,,
6/12/2001,,14.64000034,0.310324192,22.94355011,,
6/13/2001,,14.11999989,0.312768877,22.50110435,,
6/14/2001,,13.28999996,0.303754061,21.93133354,,
6/15/2001,,12.48999977,0.312310606,21.65122795,,
6/18/2001,,11.82999992,0.310629785,21.2883625,,
6/19/2001,,11.35999966,0.308490664,21.42840958,,
6/20/2001,,12.52999973,0.331104159,22.09367561,,
6/21/2001,,13.07999992,0.343633324,22.23054504,,
6/22/2001,,12.39999962,0.340119094,21.9090538,,
6/25/2001,,12.81000042,0.366552353,21.91542435,,
6/26/2001,,13.25,0.362885267,22.32603455,,
6/27/2001,,14.03999996,0.356620669,22.64434624,,
6/28/2001,,14.35999966,0.35967657,23.1536293,,
6/29/2001,,14.14999962,0.35524562,23.23638916,,
7/2/2001,,14.52999973,0.365177184,22.47245216,,
7/3/2001,,14.13000011,0.364260435,22.43107605,,
7/5/2001,,15.27000046,0.35432893,21.80718994,,
7/6/2001,,15.27000046,0.336604804,21.02734375,,
7/9/2001,,15.81000042,0.346841991,20.90957069,,
7/10/2001,,15.60999966,0.323006094,20.52442169,,
7/11/2001,,15.34000015,0.344397277,21.16739273,,
7/12/2001,,16.48999977,0.372205734,22.79076576,,
7/13/2001,,16.97999954,0.379692554,22.70800018,,
7/16/2001,,16.01000023,0.366093993,22.65707588,,
7/17/2001,,16.35000038,0.383512437,22.86079788,,
7/18/2001,,15.96000004,0.317658335,22.4629097,,
7/19/2001,,16.48999977,0.304976404,23.09952164,,
7/20/2001,,16.97999954,0.305282086,22.02046394,,
7/23/2001,,16.03000069,0.29855907,21.35520554,,
7/24/2001,,12.06000042,0.291683435,21.11010742,,
7/25/2001,,11.51000023,0.282210141,21.47934723,,
7/26/2001,,12.32999992,0.284043759,21.19604301,,
7/27/2001,,12.25,0.289697081,20.8395462,,
7/30/2001,,12.55000019,0.289238662,20.9445858,,
7/31/2001,,12.48999977,0.28709963,21.06872368,,
8/1/2001,,12.5,0.291225106,21.15785217,,
8/2/2001,,12.18999958,0.302837342,21.46978569,,
8/3/2001,,12.14999962,0.297948003,21.29154396,,
8/6/2001,,11.89999962,0.292294562,21.0496254,,
8/7/2001,,11.60000038,0.29412806,21.11964417,,
8/8/2001,,11.10999966,0.288780302,20.6453743,,
8/9/2001,,10.46000004,0.29107222,20.69311905,,
8/10/2001,,9.949999809,0.2906138,20.85545731,,
8/13/2001,,10.11999989,0.291683435,20.95413208,,
